Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Mexico,3454.1,3418,3303.9,3295.4,3174.8,3225.9,3025.3,4059.5,4036.7,4847.6,4616.8,5039.8,5335.5,5644,5896.1,5537.6,6192.2,5610.4,6274.7,6896.9,9011.7,8680.8,7837.7
Nicaragua,43.5,39.6,50.3,51.3,46.1,46.2,48.6,48.6,46,45.6,48.1,54.4,72.6,75.6,81.7,100.3,87.4,89.8,85,79.1,82.4,77.9,79
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,...,35.6,47.9,80.4,174.5,210.4,230,230.7,228.3,213.7,201.2,196.5,208.4,248.4,209.2,212.8,230.7,214.9,174.9,180,176.4,209.3,195
Canada,14593.6,14980.5,15056.5,15333.7,15914,16613.9,17386.1,18955.4,20427.8,21360.7,19293.2,19945.2,18966,17531.8,17817.8,20471.1,20742.6,25056.3,24940.6,24678.9,25522.3,25362.2,26112.1
United States of America,503680.1,507770.8,570129.6,648901.6,707251,739826.2,750486.9,770512.7,826562.7,891604.5,917092.3,906233,855896.4,790061.9,741463.5,724625.9,722402.3,714959.1,736477.5,778326.9,814965.2,806230.2,811591.2
Argentina,2984.4,2939.9,2505.3,2580.5,2655.4,2789.3,2876,3111.1,3091.3,3331.7,3296.7,3249.5,3209.4,3596,3720.2,3684.2,3584.3,3945.4,3510.6,3194,3120.2,3073.4,2101.1
Bolivia,468.3,527.7,465.5,534.3,510.2,485.2,470.1,509.7,726.3,630.2,646.7,706.3,785.7,829.2,849.1,753.4,653,690.3,703.2,673.7,547.9,569.9,619.6
Brazil,13696.9,15864.8,16076.6,12825.2,13325.9,14418.6,14929.8,16101.1,17128.2,18676,20739.6,20089.1,20475.4,20586.8,20998.5,20511.8,19470.6,20739.8,22116,21162.3,20258.4,19187.1,17675.1
Chile,2880.8,2945.7,2931.5,3325.4,3769.8,3875.9,4416,4347.9,4615.1,4150.2,4669.5,4976.9,4671,4726.5,4796.2,4783.8,4941.4,5182,5170.9,5168.5,5762.2,6119.4,5738.8
